SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,
Jména F,,Jména G,,Jména H,,Jména CH,,Jména I,,
FABIAN,,GABAR,,HABIB,,CHAIM,,IAN,,
FABIÁN,,GÁBOR,,HAIM,,CHARALAMBOS,,IASON,,
FABIANO,,GABRIS,,HAITHAM,,CHARBEL,,IASONAS,,
FABIEN,,GAD,,HAJK,,CHARILAOS,,IBRAHIM,,
FABIO,,GAËL,,HAKIM,,CHARIS,,IDO,,
FABRICIO,,GAGIK,,HAKOB,,CHARLES,,IDRIS,,
FABRIZIO,,GALEN,,HALIT,,CHESS,,IDRISSA,,
FADI,,GANDO,,HAMID,,CHIAKI,,IFIOK,,
FADY,,GARETH,,HAMISH,,CHIBUNDU,,IGGI,,
FAISAL,,GARIK,,HAMZA,,CHIEN,,IGGY,,
FALLIN,,GARY,,HANI,,CHIMA,,IGI,,
FAOLAN,,GARYK,,HANNIBAL,,CHIMEREMEZE,,IGNAC,,
FARES,,GASTON,,HANS,,CHINEMEREM,,IGNÁC,,
FARID,,GAŠPAR,,HANUS,,CHIP,,IGNACIO,,
FARIS,,GAŠPER,,HANUŠ,,CHRISANFIJ,,IGNÁT,,
FÁRIS,,GEDEON,,HANY,,CHRISTIAN,,IGOR,,
FARUK,,GEJZA,,HAO,,CHRISTIÁN,,IHOR,,
FATHI,,GENADIJ,,HARALD,,CHRISTIANO,,IKAIA,,
FATMIR,,GENADY,,HAREL,,CHRISTIEN,,IKECHUKWU,,
FAYEZ,,GENNADIJ,,HARIPRASAD,,CHRISTO,,IKER,,
FEDERICO,,GENNARO,,HARIS,,CHRISTOFFER,,IKIAM,,
FEDIR,,GENTIAN,,HAROLD,,CHRISTOPH,,ILAN,,
FEDOR,,GEOFFREY,,HARRISON,,CHRISTOPHE,,ILAY,,
FELICIÁN,,GEORG,,HARRY,,CHRISTOPHER,,ILBEK,,
FELIPE,,GEORGE,,HARTMUT,,CHRISTOS,,ILIA,,
FELIX,,GEORGES,,HARUHIKO,,CHRUDOŠ,,ILIAN,,
FÉLIX,,GEORGI,,HASAN,,CHRYSILIOS,,ILIAS,,
FÉNIX,,GEORGIJ,,HASSAN,,CHRYSTIAN,,ILIR,,
FEODOR,,GEORGINO,,HAŠTAL,,CHURCHILL,,ILIYAN,,
FERDINAND,,GEORGIOS,,HAVEL,,,,ILKO,,
FERENC,,GEORGIS,,HAYK,,,,ILLIA,,
FERHAN,,GEORGY,,HECTOR,,,,ILLJA,,
FERIT,,GERALD,,HECHMI,,,,ILYA,,
FERNANDO,,GERARD,,HEIKO,,,,ILYAN,,
FERZENDE,,GERARDO,,HEINRICH,,,,ILYAS,,
FILHO,,GERHARD,,HEINZ,,,,IMAD,,
FILIP,,GERHART,,HEKTOR,,,,IMMANUEL,,
FILIPP,,GERMAN,,HELIODOR,,,,IMRE,,
FILIPPO,,GEROLD,,HELMUT,,,,IMRICH,,
FILIPPOS,,GEVORG,,HELMUTH,,,,INNOCENC,,
FINIST,,GÉZA,,HENDRIK,,,,INOCENC,,
FINK,,GHASSAN,,HENNO,,,,INUK,,
FINTAN,,GHEORGHE,,HENOCH,,,,IOAN,,
FIRAS,,GIA HUY,,HENRI,,,,IOANNES,,
FJODOR,,GIACOMO,,HENRICH,,,,IOANNIS,,
FJÖLNIR,,GIAN,,HENRIK,,,,ION,,
FLAVIO,,GIANCARLO,,HENRY,,,,IONEL,,
FLO,,GIANLUCA,,HENRYK,,,,IORI,,
FLOKI,,GIANNI,,HEORHIY,,,,IOSIF,,
FLÓKI,,GIDEON,,HERBERT,,,,IRAKLI,,
FLORENTIN,,GILAD,,HERIBERT,,,,IRAM,,
FLORIAN,,GILBERT,,HERMAN,,,,IRENEJ,,
FLORIÁN,,GINO,,HERMANN,,,,IRENEUSZ,,
FOTIS,,GINTER,,HERTWIG,,,,IRIJ,,
FRANCESCO,,GIOELE,,HERWIG,,,,IRMUUN,,
FRANCISC,,GIORA,,HEŘMAN,,,,IRVIN,,
FRANCISCO,,GIORGI,,HESHAM,,,,ISAAC,,
FRANCISZEK,,GIORGIO,,HIEN,,,,ISHÁQ,,
FRANCO,,GIOVANNI,,HIEP,,,,ISIDOR,,
FRANCOIS,,GISBERT,,HIEU,,,,ISMAEL,,
FRANÇOIS,,GIULIAN,,HICHAM,,,,ISMAIL,,
FRANK,,GIULIANO,,HIKARU,,,,ISMOIL,,
FRANKIE,,GIULIO,,HILAR,,,,ISRAEL,,
FRANKO,,GIUSEPPE,,HILTON,,,,ISSAM,,
FRAŇO,,GJERGJ,,HIROTO,,,,ISSAY,,
FRANTIŠEK,,GJON,,HOLGER,,,,ISSEY,,
FRANTÍŠEK,,GLEB,,HONZA,,,,ISTVÁN,,
FRANZ,,GLIB,,HORÁC,,,,IŠTVAN,,
FRED,,GOČE,,HORST,,,,ITAI,,
FREDERIC,,GODRIC,,HORYMÍR,,,,ITAMAR,,
FRÉDÉRIC,,GOJKO,,HOSTIMIL,,,,ITAY,,
FREDERICK,,GONZALO,,HOSTIVÍT,,,,ITZHAK,,
FREDERICO,,GOR,,HOUSSAM,,,,IULIAN,,
FREDERIK,,GORAN,,HOVHANNES,,,,IVAN,,
FREDY,,GORAZD,,HRYHORIJ,,,,IVÁN,,
FREIRE,,GORDAN,,HUBERT,,,,IVAR,,
FRIDO,,GOTHARD,,HUGO,,,,ÍVARR,,
FRIDOLIN,,GOTTFRIED,,HULAGU,,,,IVAYLO,,
FRIDOLÍN,,GRACIAN,,HUMBERTO,,,,IVO,,
FRIDRICH,,GRANIT,,HUNG,,,,IVOŠ,,
FRIEDRICH,,GRANT,,HÜSEYIN,,,,IZAJÁŠ,,
FRITZ,,GREGG,,HUSSAIN,,,,IZAK,,
FRYDERYK,,GREGOR,,HUSSAM,,,,IZÁK,,
FUAD,,GREGORY,,HUSSEIN,,,,IZEI,,
FYODOR,,GRIFFIN,,HUU DAT,,,,IZIÁŠ,,
,,GRIGOR,,HUZAIFA,,,,IZIDOR,,
,,GRIGORI,,HVĚZDOSLAV,,,,IZMAEL,,
,,GRIGORIJ,,HWIGYUM,,,,,,
,,GRIGORY,,HYNEK,,,,,,
,,GRZEGORZ,,,,,,,,
,,GUIDO,,,,,,,,
,,GUILHERME,,,,,,,,
,,GUILLERMO,,,,,,,,
,,GÜNEY,,,,,,,,
,,GUNNAR,,,,,,,,
,,GÜNTER,,,,,,,,
,,GÜNTHER,,,,,,,,
,,GÜRALP,,,,,,,,
,,GURAM,,,,,,,,
,,GUSTAV,,,,,,,,
,,GUSTÁV,,,,,,,,
,,GUSTAVO,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
