SEZNAM MUŽSKÝCH JMEN,,,,,,,,,,,
Jména O,,Jména P,,Jména Q,,"Jména R, Ř",,"Jména S, Š",,,
OBI,,PAATA,,QUAN,,RA,,SAAD,,,
OBINNA,,PABLO,,QUANG,,RABEAH,,SABIR,,,
OCEAN,,PÁDRAIG,,QUIDO,,RABIE,,SABRI,,,
ODED,,PALO,,QUINTUS,,RAD,,SAFET,,,
ODIN,,PAN,,,,RADAN,,SAFWAT,,,
ODOLEN,,PANAGIOTIS,,,,RADE,,SAGI,,,
ODON,,PANAJOTIS,,,,RADEK,,SAGITAS,,,
ODORICO,,PANDE,,,,RADIM,,SACHI,,,
ODOSA,,PANKRÁC,,,,RADIMÍR,,SAIMON,,,
ODYSSEAS,,PAOLO,,,,RADISLAV,,SAIMU,,,
ODYSSEUS,,PARS,,,,RADKO,,SAJED,,,
OFEK,,PARTH,,,,RADMIL,,SAJMON,,,
OFER,,PARTHA,,,,RADOMIL,,SALAH,,,
OGNJEN,,PASKAL,,,,RADOMIR,,SALEH,,,
OHAD,,PATRIC,,,,RADOMÍR,,SALEM,,,
OHŇAN,,PATRICIO,,,,RADOSLAV,,SALIM,,,
OJÍŘ,,PATRICK,,,,RADOŠ,,SALUR,,,
OKTAVIÁN,,PATRIK,,,,RADOUŠ,,SALVADOR,,,
OLAF,,PATRIZIO,,,,RADOVAN,,SALVATOR,,,
OLALEKE,,PATRYK,,,,RADUZ,,SALVÁTOR,,,
OLAOLUWALAFINDARA,,PAUL,,,,RADÚZ,,SALVATORE,,,
OLBRAM,,PAULO,,,,RADVAN,,SALVIÁN,,,
OLDRICH,,PAVEL,,,,RADWAN,,SAMAEL,,,
OLDŘICH,,PAVITAR,,,,RAED,,SAMER,,,
OLEG,,PAVLO,,,,RAFAŁ,,SÁMER,,,
OLEH,,PAVLOS,,,,RAFFAEL,,SÁMÍ,,,
OLEKSANDR,,PAVOL,,,,RAFIK,,SAMIEN,,,
OLEKSIJ,,PAWEL,,,,RAGNAR,,SAMIR,,,
OLEKSIY,,PAWEŁ,,,,RAGHURAM,,SAMÍR,,,
OLEXANDR,,PEDRO,,,,RAHEEM,,SÁMIR,,,
OLIN,,PEJO,,,,RACHAM,,SAMRAJ,,,
ÓLIVER,,PELEG,,,,RACHID,,SAMSON,,,
OLIVIER,,PELLE,,,,RAIMUND,,SAMU,,,
OLIVIO,,PEPIN,,,,RAINER,,SÁMUEL,,,
OLIWER,,PEREGRYN,,,,RAIS,,SAMUELE,,,
OLIWIER,,PERIKLIS,,,,RAJESH,,SAMUELL,,,
OLUGBALA,,PERRY,,,,RAJKO,,SAMUIL,,,
OLUWASEUN,,PERSIVAL,,,,RAJMUND,,SAMVEL,,,
OMAR,,PERUN,,,,RAKAN,,SAMY,,,
OMRI,,PETAR,,,,RALF,,SANDOR,,,
ONDRA,,PETER,,,,RALPH,,SÁNDOR,,,
ONDRASZ,,PÉTER,,,,RAM,,SANDRO,,,
ONDRÁŠ,,PETKO,,,,RAMA,,SANEL,,,
ONDREJ,,PETR,,,,RAMAN,,SANFORD,,,
ONDŘEJ,,PETRIŞOR,,,,RAMBO,,SANSAR,,,
ONEŠ,,PETRIT,,,,RAMDANE,,SANTIAGO,,,
ONUARAH,,PETRO,,,,RAMEZ,,SANTINO,,,
ONUR,,PETROS,,,,RAMI,,SASUN,,,
ORAL,,PETRU,,,,RAMIEL,,SAUL,,,
OREN,,PHILIP,,,,RAMIZ,,SAVAS,,,
OREST,,PHILIPP,,,,RAMON,,SAVAŠ,,,
ORESTIS,,PHILLIP,,,,RAMÓN,,SAVELIY,,,
ORHUN,,PHONG,,,,RAMY,,SAVIER,,,
ORLANDO,,PHUNG,,,,RAMZI,,SAVVA,,,
ORLIN,,PIER,,,,RANI,,SAVVAS,,,
ORREN,,PIETRO,,,,RANKO,,SAWYER,,,
ORSO,,PIOLO,,,,RAOUL,,SCOTT,,,
OSAFO,,PIOTR,,,,RAPHAËL,,SCOTTIE,,,
OSAI,,PIRAT,,,,RASHKO,,SEAN,,,
OSAMA,,PIUS,,,,RASIM,,SEBASTIÁN,,,
OSCAR,,PLATON,,,,RASMUS,,SEBASTIANO,,,
OSIRIS,,PLUTO,,,,RASTISLAV,,SÉBASTIEN,,,
OSKAR,,POMNĚN,,,,RAŠKO,,SEDRIK,,,
OSKÁR,,PONCIÁN,,,,RATIBOR,,SEIF,,,
OSMAN,,PORTO,,,,RATISLAV,,SELBY,,,
OSTAP,,PRAVDOMIL,,,,RATKO,,SELIM,,,
OSVALD,,PRAVOMIL,,,,RAUL,,SELMAN,,,
OSWALD,,PRAVOSLAV,,,,RAÚL,,SEMEN,,,
OTAKAR,,PREDRAG,,,,RAVI,,SEMI,,,
OTARKHAN,,PROKOP,,,,RAWÁN,,SEMIH,,,
OTEY,,PŘEMEK,,,,RAYANE,,SEMION,,,
OTHMAR,,PŘEMYSL,,,,RAYEN,,SEMIR,,,
OTIS,,PŘIBYSLAV,,,,RAYMON,,SEMÍR,,,
OTMAR,,PTAH,,,,RAYMOND,,SEMJON,,,
OTO,,,,,,RAYMUND,,SEMYON,,,
OTOKAR,,,,,,RAZ,,SENAD,,,
OTOKÁR,,,,,,REGINALD,,SEO,,,
OTOMAR,,,,,,REINER,,SERAFIM,,,
OTON,,,,,,REINHARD,,SERAFÍN,,,
OTTMAR,,,,,,REINHARDT,,SERGE,,,
OTTO,,,,,,REINHOLD,,SERGEI,,,
OTTOKAR,,,,,,REMIGIUS,,SERGEJ,,,
OTTOMAR,,,,,,REMO,,SERGEY,,,
OWE,,,,,,REMUS,,SERGHEI,,,
OWEN,,,,,,RÉMY,,SERGI,,,
OZ,,,,,,RENAT,,SERGIJ,,,
,,,,,,RENÁT,,SERGIO,,,
,,,,,,RENATO,,SERGIU,,,
,,,,,,RENNÉ,,SERGIY,,,
,,,,,,RENNY,,SERHIJ,,,
,,,,,,RENO,,SERKAN,,,
,,,,,,REUVEN,,SERVÁC,,,
,,,,,,RIAD,,SERŽ,,,
,,,,,,RIAN,,SETH,,,
,,,,,,RICARD,,SEVAR,,,
,,,,,,RICARDO,,SEVERIN,,,
,,,,,,RICCARDO,,SEVERÍN,,,
,,,,,,RICK,,SEVERN,,,
,,,,,,RICHARD,,SHAHMEER,,,
,,,,,,RINAL,,SHACHAR,,,
,,,,,,RINAT,,SHAKEEL,,,
,,,,,,RINCHEN,,SHALEV,,,
,,,,,,RISTO,,SHAMIL,,,
,,,,,,ROBERT,,SHANTANU,,,
,,,,,,RÓBERT,,SHAY,,,
,,,,,,ROBERTO,,SHEM,,,
,,,,,,ROBINSON,,SHIHOON,,,
,,,,,,ROCCO,,SHIMON,,,
,,,,,,RODAN,,SHKELZEN,,,
,,,,,,RODERICK,,SHLOMO,,,
,,,,,,RODERIK,,SHMUEL,,,
,,,,,,RODION,,SIDAR,,,
,,,,,,RODO ,,SIDDIQUI,,,
,,,,,,RODOLFO,,SIEGBERT,,,
,,,,,,RODRIGO,,SIEGFRIED,,,
,,,,,,ROEE,,SIGMUND,,,
,,,,,,ROEI,,SIGURDUR,,,
,,,,,,ROEN,,SILVÁN,,,
,,,,,,ROGER,,SILVANO,,,
,,,,,,ROCHUS,,SILVESTER,,,
,,,,,,ROI,,SILVESTR,,,
,,,,,,ROLAND,,SILVIO,,,
,,,,,,ROLANDO,,SIMEON,,,
,,,,,,ROLEK,,SIMRAN,,,
,,,,,,ROLF,,SINIŠA,,,
,,,,,,ROM,,SIRELI,,,
,,,,,,ROMAIN,,SIRIUS,,,
,,,,,,ROMAN,,SIZOTHA,,,
,,,,,,ROMÁN,,SLÁVEK,,,
,,,,,,ROMANO,,SLAVIBOJ,,,
,,,,,,ROMEO,,SLAVIBOR,,,
,,,,,,ROMUALD,,SLAVKO,,,
,,,,,,RON,,SLAVOJ,,,
,,,,,,RONALD,,SLAVOMIL,,,
,,,,,,RONALDO,,SLAVOMÍR,,,
,,,,,,RONEN,,SLOBODAN,,,
,,,,,,ROSARIO,,SNORRI,,,
,,,,,,ROSS,,SOBĚSLAV,,,
,,,,,,ROSTISLAV,,SOFIAN,,,
,,,,,,ROSTYSLAV,,SOFIANE,,,
,,,,,,ROWAN,,SOFIEN,,,
,,,,,,ROX,,SOKOL,,,
,,,,,,ROY,,SOKRATIS,,,
,,,,,,RSABHADEVA,,SOLOMON,,,
,,,,,,RUANSH,,SON,,,
,,,,,,RUBEN,,SON HAI,,,
,,,,,,RUBÉN,,SÖREN,,,
,,,,,,RUDOLF,,SORIN,,,
,,,,,,RUDOLPH,,SOTIRIS,,,
,,,,,,RUDY,,SPIROS,,,
,,,,,,RUFIN,,SPYRIDON,,,
,,,,,,RUI,,SPYTIHNĚV,,,
,,,,,,RUMEN,,SRDJAN,,,
,,,,,,RUPERT,,SRIDHARA,,,
,,,,,,RUSLAN,,STANIMIR,,,
,,,,,,RUSSELL,,STANISLAV,,,
,,,,,,RUSTAM,,STANISLAW,,,
,,,,,,RYAN,,STANISŁAW,,,
,,,,,,RYLAN,,STANKO,,,
,,,,,,RYSZARD,,STANLEY,,,
,,,,,,ŘEHOŘ,,STATIS,,,
,,,,,,,,STAVROS,,,
,,,,,,,,STEFAN,,,
,,,,,,,,ŞTEFAN,,,
,,,,,,,,STEFANO,,,
,,,,,,,,STEFANOS,,,
,,,,,,,,STELLAN,,,
,,,,,,,,STEPAN,,,
,,,,,,,,STĚPAN,,,
,,,,,,,,STEPHAN,,,
,,,,,,,,STEPHEN,,,
,,,,,,,,STERIOS,,,
,,,,,,,,STEVAN,,,
,,,,,,,,STEVE,,,
,,,,,,,,STEVEN,,,
,,,,,,,,STJEPAN,,,
,,,,,,,,STOJAN,,,
,,,,,,,,STRIBOR,,,
,,,,,,,,STUART,,,
,,,,,,,,STYLES,,,
,,,,,,,,SUBHI,,,
,,,,,,,,SUDARSHAN,,,
,,,,,,,,SUFYAN,,,
,,,,,,,,SULEJMAN,,,
,,,,,,,,SULLIVAN,,,
,,,,,,,,SULLY,,,
,,,,,,,,SUMITO,,,
,,,,,,,,SUNG,,,
,,,,,,,,SVATOBOJ,,,
,,,,,,,,SVATOBOR,,,
,,,,,,,,SVATOMIL,,,
,,,,,,,,SVATOMÍR,,,
,,,,,,,,SVATOPLUK,,,
,,,,,,,,SVATOSLAV,,,
,,,,,,,,SVATOŠ,,,
,,,,,,,,SVETISLAV,,,
,,,,,,,,SVETOSLAV,,,
,,,,,,,,SVĚTOSLAV,,,
,,,,,,,,SVETOZAR,,,
,,,,,,,,SVETOZÁR,,,
,,,,,,,,SVĚTOZAR,,,
,,,,,,,,SVJATOSLAV,,,
,,,,,,,,SVYATOSLAV,,,
,,,,,,,,SWEN,,,
,,,,,,,,SYLVESTER,,,
,,,,,,,,SYLVESTR,,,
,,,,,,,,SYMEON,,,
,,,,,,,,SZILÁRD,,,
,,,,,,,,SZYMON,,,
,,,,,,,,ŠÁNDOR,,,
,,,,,,,,ŠEBESTIÁN,,,
,,,,,,,,ŠÉM,,,
,,,,,,,,ŠIMEÓN,,,
,,,,,,,,ŠIMON,,,
,,,,,,,,ŠOCHRUCH,,,
,,,,,,,,ŠTEFAN,,,
,,,,,,,,ŠTEFÁN,,,
,,,,,,,,ŠTEPÁN,,,
,,,,,,,,ŠTĚPÁN,,,
